iter	Passed	Remaining
599	114652	76434
600	114832	76236
601	115011	76037
602	115186	75835
603	115362	75635
604	115547	75439
605	115726	75241
606	115894	75035
607	116058	74827
608	116222	74619
609	116402	74421
610	116575	74219
611	116759	74023
612	116936	73824
613	117138	73640
614	117300	73431
615	117482	73235
616	117656	73035
617	117831	72834
618	118014	72639
619	118184	72435
620	118358	72234
621	118551	72045
622	118740	71854
623	118914	71653
624	119086	71451
625	119270	71257
626	119442	71055
627	119632	70864
628	119786	70653
629	119967	70456
630	120142	70257
631	120319	70059
632	120467	69844
633	120658	69654
634	120840	69459
635	120997	69250
636	121171	69050
637	121350	68853
638	121500	68641
639	121684	68447
640	121863	68251
641	122072	68071
642	122232	67864
643	122386	67654
644	122532	67440
645	122696	67235
646	122840	67021
647	123008	66819
648	123180	66619
649	123355	66421
650	123531	66225
651	123709	66028
652	123881	65829
653	124061	65634
654	124229	65434
655	124409	65238
656	124558	65028
657	124734	64831
658	124906	64632
659	125067	64428
660	125244	64232
661	125420	64036
662	125610	63847
663	125808	63662
664	125976	63461
665	126137	63258
666	126309	63060
667	126468	62855
668	126641	62658
669	126803	62455
670	126977	62258
671	127154	62063
672	127325	61865
673	127488	61663
674	127664	61467
675	127821	61263
676	127989	61064
677	128167	60869
678	128329	60668
679	128507	60474
680	128681	60277
681	128859	60084
682	129043	59892
683	129226	59701
684	129391	59501
685	129571	59308
686	129745	59112
687	129910	58912
688	130091	58720
689	130277	58530
690	130428	58324
691	130606	58131
692	130777	57934
693	130962	57744
694	131117	57540
695	131300	57349
696	131475	57154
697	131654	56962
698	131838	56771
699	132024	56582
700	132197	56386
701	132375	56193
702	132553	56000
703	132712	55799
704	132878	55601
705	133059	55410
706	133225	55212
707	133404	55020
708	133582	54827
709	133759	54634
710	133911	54431
711	134070	54230
712	134244	54036
713	134436	53849
714	134610	53656
715	134766	53454
716	134900	53245
717	135072	53050
718	135217	52845
719	135372	52644
720	135547	52451
721	135711	52254
722	135868	52054
723	136053	51865
724	136229	51673
725	136406	51481
726	136578	51287
727	136753	51094
728	136928	50902
729	137103	50709
730	137282	50518
731	137457	50326
732	137628	50132
733	137806	49940
734	137979	49747
735	138150	49554
736	138299	49352
737	138483	49163
738	138657	48970
739	138837	48780
740	139007	48586
741	139202	48402
742	139374	48209
743	139551	48017
744	139747	47833
745	139910	47637
746	140081	47443
747	140268	47256
748	140437	47062
749	140600	46866
750	140735	46662
751	140910	46470
752	141080	46277
753	141251	46084
754	141426	45893
755	141604	45702
756	141791	45515
757	141968	45324
758	142142	45133
759	142311	44940
760	142487	44749
761	142658	44557
762	142829	44365
763	143006	44174
764	143173	43981
765	143351	43791
766	143509	43595
767	143690	43406
768	143841	43208
769	144011	43016
770	144182	42824
771	144350	42631
772	144555	42450
773	144729	42259
774	144924	42074
775	145094	41882
776	145268	41692
777	145407	41491
778	145562	41295
779	145712	41098
780	145885	40907
781	146051	40715
782	146217	40522
783	146390	40332
784	146545	40136
785	146740	39952
786	146908	39760
787	147057	39563
788	147230	39373
789	147422	39188
790	147595	38997
791	147746	38802
792	147921	38612
793	148091	38421
794	148262	38231
795	148433	38040
796	148604	37850
797	148781	37661
798	148966	37474
799	149111	37277
800	149285	37088
801	149455	36898
802	149630	36708
803	149807	36520
804	149987	36332
805	150123	36133
806	150298	35944
807	150466	35754
808	150651	35567
809	150813	35376
810	150956	35179
811	151074	34977
812	151229	34784
813	151383	34591
814	151543	34399
815	151694	34205
816	151835	34009
817	152002	33819
818	152194	33635
819	152364	33445
820	152537	33257
821	152730	33072
822	152910	32885
823	153079	32696
824	153230	32503
825	153415	32317
826	153603	32132
827	153776	31943
828	153951	31756
829	154104	31563
830	154305	31381
831	154443	31185
832	154615	30997
833	154756	30802
834	154932	30615
835	155100	30426
836	155272	30238
837	155457	30052
838	155620	29862
839	155794	29675
840	155969	29487
841	156120	29295
842	156291	29107
843	156442	28915
844	156616	28728
845	156791	28541
846	156969	28354
847	157136	28165
848	157280	27973
849	157458	27786
850	157578	27590
851	157697	27393
852	157893	27210
853	158008	27013
854	158186	26827
855	158342	26637
856	158522	26451
857	158698	26264
858	158910	26084
859	159067	25894
860	159350	25725
861	159653	25559
862	159847	25375
863	159989	25183
864	160143	24993
865	160316	24806
866	160468	24616
867	160669	24433
868	160806	24241
869	160982	24054
870	161132	23864
871	161307	23678
872	161467	23489
873	161633	23301
874	161793	23113
875	161948	22924
876	162099	22734
877	162278	22548
878	162451	22362
879	162608	22173
880	162780	21987
881	162949	21800
882	163141	21616
883	163261	21423
884	163399	21232
885	163520	21039
886	163674	20851
887	163838	20664
888	164001	20477
889	164193	20293
890	164385	20109
891	164540	19921
892	164761	19741
893	164876	19549
894	164999	19357
895	165116	19165
896	165294	18980
897	165462	18794
898	165623	18607
899	165771	18419
900	165894	18228
901	166048	18040
902	166169	17849
903	166314	17661
904	166487	17476
905	166642	17289
906	166817	17104
907	166953	16916
908	167094	16727
909	167228	16539
910	167347	16349
911	167519	16164
912	167640	15974
913	167822	15790
914	167940	15601
915	168090	15414
916	168245	15228
917	168378	15040
918	168574	14858
919	168766	14675
920	168937	14490
921	169119	14307
922	169237	14118
923	169353	13929
924	169532	13745
925	169667	13558
926	169848	13375
927	170027	13191
928	170205	13008
929	170352	12822
930	170507	12636
931	170679	12452
932	170832	12267
933	170983	12082
934	171116	11895
935	171267	11710
936	171445	11527
937	171628	11344
938	171824	11162
939	172038	10981
940	172243	10799
941	172409	10615
942	172530	10428
943	172696	10244
944	172879	10061
945	173056	9878
946	173175	9691
947	173313	9506
948	173431	9320
949	173567	9135
950	173706	8950
951	173880	8767
952	174045	8583
953	174226	8400
954	174431	8219
955	174589	8035
956	174775	7853
957	174919	7668
958	175059	7484
959	175268	7302
960	175383	7117
961	175504	6932
962	175670	6749
963	175843	6566
964	175999	6383
965	176157	6200
966	176294	6016
967	176473	5833
968	176624	5650
969	176746	5466
970	176893	5283
971	177060	5100
972	177210	4917
973	177333	4733
974	177453	4550
975	177637	4368
976	177789	4185
977	177950	4002
978	178086	3820
979	178246	3637
980	178436	3455
981	178650	3274
982	178766	3091
983	178927	2909
984	179096	2727
985	179273	2545
986	179456	2363
987	179654	2182
988	179847	2000
989	180013	1818
990	180208	1636
991	180377	1454
992	180549	1272
993	180711	1090
994	180848	908
995	181011	726
996	181147	545
997	181320	363
998	181547	181
999	181717	0
